"filename", "language", "Shell Script", "Makefile", "Markdown", "C++", "Assembly", "C", "YAML", "Perl", "JSON", "Poryasm", "Poryscript", "PowerShell", "comment", "blank", "total"
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AncientTomb\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 14, 87
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AquaHideout_1F\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 1, 83
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AquaHideout_1F\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 19, 120
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AquaHideout_B1F\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 314, 0, 0, 0, 0, 1, 315
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AquaHideout_B1F\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 28, 161
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AquaHideout_B2F\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 1, 190
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AquaHideout_B2F\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 26, 163
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AquaHideout_UnusedRubyMap1\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AquaHideout_UnusedRubyMap1\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AquaHideout_UnusedRubyMap2\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AquaHideout_UnusedRubyMap2\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AquaHideout_UnusedRubyMap3\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AquaHideout_UnusedRubyMap3\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\ArtisanCave_1F\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 1, 50
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\ArtisanCave_1F\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\ArtisanCave_B1F\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 1, 83
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\ArtisanCave_B1F\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleColosseum_2P\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 1, 69
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleColosseum_2P\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleColosseum_4P\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 1, 87
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleColosseum_4P\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
